cluster,CHR,Position,Strand,UCSC_RefGene_Name,Genome_Build,CpG
1,11,62623994,-,SLC3A2;SNORD27;SLC3A2;SNHG1;SNORD25;SLC3A2;SNORD26;SLC3A2;SLC3A2,GRCh37,cg21692936
1,4,94749496,-,ATOH1,GRCh37,cg01357116
1,5,54529851,+,CCNO,GRCh37,cg13352495
1,7,115851050,+,TES,GRCh37,cg00453193
1,7,21985884,-,CDCA7L;CDCA7L;CDCA7L,GRCh37,cg13316191
1,1,65613042,-,AK3L1;AK3L1;AK3L1,GRCh37,cg10482024
1,6,90062879,+,UBE2J1,GRCh37,cg16124337
1,7,76027066,+,ZP3;ZP3;SRCRB4D,GRCh37,cg20352798
1,2,48541264,-,FOXN2,GRCh37,cg15846641
1,1,45987864,+,PRDX1;PRDX1;PRDX1,GRCh37,cg02631906
1,7,50860173,-,GRB10,GRCh37,cg24183958
1,9,117880556,+,TNC,GRCh37,cg20566118
1,2,128569115,-,WDR33;WDR33;WDR33,GRCh37,cg20254231
1,2,219724157,-,WNT6,GRCh37,cg16256504
1,14,61788862,-,PRKCH,GRCh37,cg02282237
1,1,225616475,+,LBR;LBR;LBR,GRCh37,cg12994003
1,2,16080760,-,MYCN;MYCN;MYCNOS,GRCh37,cg02204046
1,2,71558589,+,ZNF638;ZNF638,GRCh37,cg01919488
1,3,127316993,-,MCM2,GRCh37,cg10691006
1,5,170847251,+,FGF18,GRCh37,cg16494477
1,2,136876021,+,CXCR4,GRCh37,cg21859434
1,5,10761669,-,DAP,GRCh37,cg07817783
1,2,235405122,-,ARL4C,GRCh37,cg21650900
1,1,231762238,-,TSNAX-DISC1;DISC1;DISC1;DISC1;DISC1;TSNAX-DISC1;DISC1;DISC1;TSNAX-DISC1;DISC1;TSNAX-DISC1;DISC1;DISC1;TSNAX-DISC1;DISC1;DISC1;DISC1;DISC1;DISC1;DISC1;DISC1;DISC1;DISC1;TSNAX-DISC1;TSNAX-DISC1;DISC1;DISC1;DISC1;TSNAX-DISC1;DISC1;DISC1,GRCh37,cg24499839
1,2,222437611,-,EPHA4,GRCh37,cg15808558
1,11,72854156,+,FCHSD2,GRCh37,cg17114257
1,12,111843286,+,SH2B3,GRCh37,cg21633208
1,10,77160935,-,ZNF503;C10orf41,GRCh37,cg08158570
1,12,76953712,+,OSBPL8;OSBPL8,GRCh37,cg17841529
1,11,119187391,-,MCAM,GRCh37,cg03365354
1,8,22926909,-,TNFRSF10B;TNFRSF10B;TNFRSF10B,GRCh37,cg16861508
1,12,117628520,-,FBXO21;FBXO21,GRCh37,cg08141806
1,6,26032407,+,HIST1H3B,GRCh37,cg15797414
1,15,89456239,+,MFGE8;MFGE8,GRCh37,cg27011042
1,16,50581891,+,NKD1,GRCh37,cg17804302
1,2,69240453,+,ANTXR1;ANTXR1;ANTXR1;ANTXR1;ANTXR1;ANTXR1,GRCh37,cg11078738
1,19,39989234,-,DLL3;DLL3,GRCh37,cg03139057
2,7,142635611,-,C7orf34,GRCh37,cg22298208
2,15,55799927,-,DYX1C1;DYX1C1;DYX1C1,GRCh37,cg16593081
2,12,52800423,+,KRT82,GRCh37,cg13696887
2,1,109265387,+,FNDC7,GRCh37,cg11481351
2,9,127269631,-,NR5A1;NR5A1,GRCh37,cg16666160
2,15,83380023,-,AP3B2,GRCh37,cg13140464
2,6,155412182,-,TIAM2,GRCh37,cg20925955
2,10,48392130,-,RBP3,GRCh37,cg24053375
2,2,228243972,-,TM4SF20,GRCh37,cg20683151
2,9,99064321,-,HSD17B3,GRCh37,cg11554937
2,9,111618129,-,ACTL7B,GRCh37,cg05156613
2,2,27498334,+,DNAJC5G;DNAJC5G,GRCh37,cg16964535
2,3,42726970,+,KBTBD5,GRCh37,cg00412805
2,19,57631232,+,USP29,GRCh37,cg07499372
2,2,105858139,-,GPR45,GRCh37,cg21399079
2,18,19998010,+,CTAGE1,GRCh37,cg10421192
2,13,20717346,+,GJA3,GRCh37,cg15344726
2,22.0,40289538,+,ENTHD1,GRCh37,cg08245789
2,4,8270795,-,HTRA3,GRCh37,cg24105933
3,15,83952019,-,BNC1,GRCh37,cg10398682
3,15,83952508,+,BNC1,GRCh37,cg17051321
4,21,48024683,-,S100B,GRCh37,cg07152925
4,19,2016532,+,BTBD2,GRCh37,cg26927807
4,2,133174635,+,GPR39,GRCh37,cg07785936
4,19,45279765,+,CBLC;CBLC,GRCh37,cg03292149
4,19,45281526,+,CBLC;CBLC,GRCh37,cg22780475
4,8,144416485,-,TOP1MT,GRCh37,cg12188860
4,7,142981776,+,TMEM139,GRCh37,cg15652212
4,19,6333587,-,ACER1;ACER1,GRCh37,cg12999109
4,19,14607713,+,GIPC1;GIPC1;GIPC1;GIPC1;GIPC1;GIPC1,GRCh37,cg14528319
4,19,35940862,+,FFAR2,GRCh37,cg15479752
4,17,80797881,-,TBCD;ZNF750;ZNF750,GRCh37,cg06022562
5,11,71709978,+,IL18BP;IL18BP;IL18BP;IL18BP;IL18BP;IL18BP;IL18BP,GRCh37,cg16749930
5,4,102711773,+,BANK1;BANK1;BANK1;BANK1,GRCh37,cg25023994
5,2,188312833,+,CALCRL;CALCRL,GRCh37,cg21350115
5,15,38988560,-,C15orf53,GRCh37,cg20678353
5,8,26722861,-,ADRA1A;ADRA1A;ADRA1A;ADRA1A;ADRA1A;ADRA1A;ADRA1A;ADRA1A,GRCh37,cg17963840
5,11,57004934,-,APLNR;APLNR,GRCh37,cg25072179
5,11,71709917,-,IL18BP;IL18BP;IL18BP;IL18BP;IL18BP,GRCh37,cg26149678
6,1,202310841,+,UBE2T,GRCh37,cg01918706
6,1,113257872,-,PPM1J,GRCh37,cg12687922
6,6,136611096,-,BCLAF1;BCLAF1;BCLAF1,GRCh37,cg12721546
6,12,7283049,+,CLSTN3;CLSTN3,GRCh37,cg12448934
6,3,52804560,-,NEK4,GRCh37,cg12417299
6,2,136633607,+,MCM6,GRCh37,cg13056269
6,12,123920983,+,RILPL2;RILPL2,GRCh37,cg01954353
6,22.0,23522551,-,BCR;BCR;BCR;BCR,GRCh37,cg12406417
6,12,96794220,+,CDK17;CDK17;CDK17;CDK17,GRCh37,cg12888961
6,1,168195558,-,SFT2D2,GRCh37,cg12739647
6,3,183735660,+,ABCC5;ABCC5;ABCC5;ABCC5,GRCh37,cg12783640
6,16,431543,+,TMEM8A;LOC100134368,GRCh37,cg01940867
6,13,103498411,-,ERCC5;ERCC5,GRCh37,cg13057891
6,9,127630977,-,ARPC5L,GRCh37,cg12788471
6,2,135809940,-,RAB3GAP1,GRCh37,cg12813922
6,11,59578167,+,MRPL16;MRPL16,GRCh37,cg12738007
6,14,39639447,+,TRAPPC6B;TRAPPC6B;TRAPPC6B;TRAPPC6B,GRCh37,cg12675800
6,15,91260603,-,BLM;BLM,GRCh37,cg01994513
6,6,28220091,-,ZKSCAN4,GRCh37,cg12561748
6,22.0,38203677,-,GCAT,GRCh37,cg12598364
6,17,74350433,-,PRPSAP1,GRCh37,cg12612336
6,3,39424767,+,SLC25A38,GRCh37,cg12534466
6,7,44835727,-,PPIA,GRCh37,cg12520111
6,1,155278858,-,FDPS;FDPS;FDPS;FDPS,GRCh37,cg12489819
6,5,94982685,+,RFESD;RFESD;RFESD;RFESD;RFESD,GRCh37,cg12628956
6,19,46088010,+,OPA3;OPA3,GRCh37,cg01990304
6,10,64564444,-,ADO,GRCh37,cg12452010
6,5,150460615,+,TNIP1;TNIP1,GRCh37,cg12483860
6,14,50863241,-,CDKL1,GRCh37,cg12867068
6,8,41909961,-,MYST3;MYST3;MYST3,GRCh37,cg12468056
6,17,53498958,-,MMD,GRCh37,cg01992081
6,2,62132763,-,COMMD1,GRCh37,cg12453778
6,3,33839815,-,PDCD6IP;PDCD6IP;PDCD6IP,GRCh37,cg12971958
6,13,73356356,+,DIS3;DIS3;PIBF1;PIBF1,GRCh37,cg12930920
6,3,49840147,+,C3orf54,GRCh37,cg12661229
6,19,19249331,+,TMEM161A,GRCh37,cg13026483
6,4,88141939,-,KLHL8,GRCh37,cg12733430
6,17,45000277,+,GOSR2;GOSR2;GOSR2,GRCh37,cg13940405
6,12,110437035,+,ANKRD13A,GRCh37,cg12333095
6,7,94139401,+,CASD1,GRCh37,cg11341528
6,3,28390998,+,AZI2;AZI2;AZI2,GRCh37,cg11356290
6,13,73355953,+,DIS3;DIS3;PIBF1,GRCh37,cg02162950
6,5,74632926,-,HMGCR;HMGCR,GRCh37,cg02162412
6,19,47734362,-,BBC3;BBC3;BBC3;BBC3;BBC3,GRCh37,cg11375475
6,2,131862942,+,PLEKHB2;PLEKHB2;PLEKHB2;PLEKHB2,GRCh37,cg11395917
6,16,66914446,-,PDP2;PDP2,GRCh37,cg11399527
6,1,33647854,-,TRIM62,GRCh37,cg11426590
6,15,90545745,-,ZNF710,GRCh37,cg11468711
6,12,53400335,+,EIF4B,GRCh37,cg11471666
6,5,140070879,+,HARS2;HARS,GRCh37,cg02153871
6,1,205744417,+,RAB7L1;RAB7L1;RAB7L1;RAB7L1;RAB7L1;RAB7L1;RAB7L1,GRCh37,cg11480873
6,19,12721423,+,ZNF791;ZNF490,GRCh37,cg11481720
6,19,36705772,+,ZNF146;ZNF146;ZNF146;ZNF146;ZNF565;ZNF146;ZNF565;ZNF146,GRCh37,cg11502800
6,2,65454529,-,ACTR2;ACTR2,GRCh37,cg11585425
6,4,186317094,+,ANKRD37,GRCh37,cg11595794
6,7,30066256,-,FKBP14;FKBP14,GRCh37,cg11601662
6,8,146018277,-,RPL8;RPL8,GRCh37,cg11609366
6,12,6309515,+,CD9,GRCh37,cg11620873
6,17,62340505,+,TEX2,GRCh37,cg11336428
6,16,81349061,+,GAN,GRCh37,cg11625451
6,14,50066018,+,PPIL5;PPIL5,GRCh37,cg11328875
6,6,137143636,-,PEX7,GRCh37,cg11310692
6,19,46272660,-,SIX5,GRCh37,cg11063988
6,8,145653662,+,VPS28;VPS28,GRCh37,cg02226871
6,16,70380593,+,DDX19A,GRCh37,cg11093356
6,17,1620044,-,C17orf91;C17orf91;WDR81;C17orf91;C17orf91;WDR81,GRCh37,cg11099291
6,8,10697698,+,PINX1,GRCh37,cg11108432
6,13,99853497,-,UBAC2;UBAC2;UBAC2;UBAC2,GRCh37,cg02213716
6,17,66288529,+,SLC16A6;ARSG,GRCh37,cg11117707
6,5,10250162,-,CCT5;FAM173B,GRCh37,cg11151820
6,19,13261480,-,IER2;STX10,GRCh37,cg11158440
6,3,186501254,+,EIF4A2;SNORD2,GRCh37,cg02200132
6,12,68725932,-,MDM1;MDM1,GRCh37,cg11160386
6,21,45284425,-,AGPAT3,GRCh37,cg11166823
6,10,102027336,+,CWF19L1,GRCh37,cg11187508
6,1,93297822,-,RPL5,GRCh37,cg11189434
6,2,197791305,+,PGAP1,GRCh37,cg11197066
6,12,56521692,-,ESYT1,GRCh37,cg11206763
6,7,100271323,-,GNB2,GRCh37,cg11223864
6,12,498478,-,KDM5A;KDM5A;KDM5A;CCDC77;CCDC77;KDM5A,GRCh37,cg11225935
6,7,75677249,+,STYXL1;STYXL1;MDH2,GRCh37,cg11237883
6,16,56459217,-,AMFR,GRCh37,cg11323230
6,16,67194943,+,TRADD;FBXL8,GRCh37,cg12403575
6,2,172016605,+,TLK1;TLK1,GRCh37,cg11626791
6,19,39881393,-,MED29;PAF1,GRCh37,cg11677722
6,17,37025978,-,LASP1,GRCh37,cg02060988
6,6,108881455,-,FOXO3;FOXO3,GRCh37,cg02060698
6,7,48018855,-,HUS1,GRCh37,cg12034229
6,3,43733234,+,ABHD5,GRCh37,cg12059012
6,1,36023279,+,NCDN;NCDN;KIAA0319L;NCDN,GRCh37,cg12106731
6,19,50168026,+,IRF3;BCL2L12;BCL2L12,GRCh37,cg12107692
6,10,113943397,+,GPAM,GRCh37,cg12137206
6,11,113185079,+,TTC12,GRCh37,cg12177743
6,17,4046863,+,ZZEF1;CYB5D2;CYB5D2;CYB5D2;CYB5D2,GRCh37,cg12188482
6,22.0,39898620,+,SMCR7L,GRCh37,cg12188538
6,20,5986831,-,CRLS1;CRLS1;CRLS1,GRCh37,cg02025407
6,4,493061,-,PIGG;ZNF721;PIGG;PIGG;PIGG;ZNF721,GRCh37,cg12194493
6,18,34408901,-,C18orf10;KIAA1328;C18orf10,GRCh37,cg12219753
6,7,73589459,-,EIF4H;EIF4H,GRCh37,cg12241125
6,3,39194549,+,CSRNP1,GRCh37,cg12243255
6,15,67834730,-,MAP2K5;MAP2K5,GRCh37,cg12246527
6,12,56862370,-,SPRYD4;SPRYD4,GRCh37,cg12264551
6,6,153304188,-,FBXO5;FBXO5;FBXO5,GRCh37,cg12290002
6,19,10981810,-,CARM1,GRCh37,cg12317676
6,1,110527249,-,AHCYL1,GRCh37,cg12020639
6,19,46010716,+,VASP;VASP,GRCh37,cg11639397
6,17,42422811,-,GRN,GRCh37,cg11999384
6,6,30852699,+,DDR1;DDR1,GRCh37,cg11977634
6,2,112641892,+,ANAPC1,GRCh37,cg11700429
6,1,183441865,-,SMG7;SMG7;SMG7,GRCh37,cg02105034
6,19,11546473,-,PRKCSH;PRKCSH;PRKCSH;CCDC151;PRKCSH,GRCh37,cg11705439
6,12,120105372,+,PRKAB1,GRCh37,cg11756837
6,21,43916603,-,RSPH1,GRCh37,cg11772764
6,22.0,26824763,+,ASPHD2,GRCh37,cg11792483
6,2,86426725,+,MRPL35;MRPL35,GRCh37,cg11820734
6,12,72057762,-,ZFC3H1;THAP2,GRCh37,cg11821147
6,19,42806344,+,PAFAH1B3;PRR19;PRR19;PAFAH1B3;PAFAH1B3,GRCh37,cg02097636
6,14,89291100,-,TTC8;TTC8;TTC8,GRCh37,cg11821536
6,2,220043521,-,FAM134A,GRCh37,cg11837864
6,1,10532677,-,DFFA;DFFA,GRCh37,cg11843760
6,6,47277822,+,TNFRSF21,GRCh37,cg11848539
6,3,111393588,-,PLCXD2;PLCXD2;PLCXD2;PLCXD2,GRCh37,cg11852814
6,7,27779895,-,TAX1BP1;TAX1BP1,GRCh37,cg11899895
6,12,50361401,-,,GRCh37,cg11912049
6,1,36689760,-,THRAP3,GRCh37,cg11916186
6,10,112327600,-,SMC3,GRCh37,cg11944393
6,11,129872885,+,NCRNA00167;PRDM10;PRDM10,GRCh37,cg13058581
6,11,102963161,-,DCUN1D5,GRCh37,cg11995303
6,12,93835939,-,UBE2N;UBE2N,GRCh37,cg11957880
6,15,51915413,+,DMXL2,GRCh37,cg13501507
6,6,30614722,-,C6orf136;C6orf136;C6orf136,GRCh37,cg13118748
6,7,72971398,+,BCL7B,GRCh37,cg15396310
6,8,99129939,-,POP1;POP1;HRSP12;POP1,GRCh37,cg15399561
6,12,56710096,+,PAN2;PAN2;CNPY2;PAN2;CNPY2,GRCh37,cg15417900
6,1,47069792,+,MKNK1;MKNK1;MKNK1;MKNK1;MKNK1,GRCh37,cg15445332
6,1,155278344,+,FDPS;FDPS;FDPS,GRCh37,cg15470750
6,1,16174610,-,SPEN;FLJ37453,GRCh37,cg15500658
6,2,191745248,+,GLS,GRCh37,cg15522719
6,19,14248090,-,ASF1B,GRCh37,cg01545242
6,2,37194356,-,STRN,GRCh37,cg15556558
6,11,46721921,+,ARHGAP1;ZNF408,GRCh37,cg15384392
6,14,69260307,+,ZFP36L1,GRCh37,cg15558971
6,15,78592154,+,WDR61,GRCh37,cg15563993
6,2,187350716,+,ZC3H15,GRCh37,cg15566222
6,14,104029667,+,BAG5;BAG5;BAG5;C14orf153,GRCh37,cg15569512
6,1,145507416,+,RBM8A,GRCh37,cg15611923
6,9,72288098,+,APBA1,GRCh37,cg15623573
6,2,86426467,+,MRPL35;MRPL35,GRCh37,cg15645605
6,16,4852962,+,ROGDI,GRCh37,cg15645784
6,5,86564490,-,RASA1;RASA1,GRCh37,cg15664067
6,2,32581747,-,BIRC6,GRCh37,cg15673110
6,3,88198982,-,C3orf38;C3orf38,GRCh37,cg15562197
6,19,5904233,-,VMAC;NDUFA11,GRCh37,cg01513611
6,14,75745358,-,FOS,GRCh37,cg15337055
6,1,46806357,-,NSUN4,GRCh37,cg15305343
6,22.0,37416188,+,MPST;TST;MPST;MPST;MPST,GRCh37,cg14850181
6,8,30515337,-,GTF2E2,GRCh37,cg14871856
6,7,92462981,+,CDK6;CDK6,GRCh37,cg01638735
6,3,49761040,+,GMPPB;GMPPB,GRCh37,cg01626197
6,1,249133278,-,ZNF672,GRCh37,cg14931645
6,1,6320471,+,GPR153,GRCh37,cg14958889
6,1,226374753,+,ACBD3,GRCh37,cg14971781
6,22.0,50964374,-,TYMP;SCO2;TYMP;SCO2;TYMP;SCO2;SCO2,GRCh37,cg15018760
6,6,116601073,+,DSE;TSPYL1;TSPYL1,GRCh37,cg15056247
6,13,37393521,-,RFXAP,GRCh37,cg15318532
6,12,11802217,-,ETV6,GRCh37,cg15062795
6,19,2236316,+,PLEKHJ1;PLEKHJ1;SF3A2,GRCh37,cg03309721
6,7,128096265,+,C7orf68;C7orf68,GRCh37,cg15133363
6,18,21977340,-,OSBPL1A,GRCh37,cg15211655
6,11,64808343,-,SAC3D1,GRCh37,cg15225105
6,2,220408791,-,TMEM198;CHPF;TMEM198,GRCh37,cg15253243
6,2,47404009,-,CALM2,GRCh37,cg01600782
6,2,73114960,+,SPR,GRCh37,cg15253672
6,2,15701366,-,NBAS,GRCh37,cg15298594
6,14,39583430,-,SIP1;SIP1;SIP1,GRCh37,cg15300989
6,6,31671037,-,BAT5,GRCh37,cg15100639
6,14,35452110,-,SRP54;SRP54;SRP54;SRP54,GRCh37,cg15677132
6,7,30634239,-,GARS;GARS,GRCh37,cg15693363
6,9,32384344,+,ACO1,GRCh37,cg15714041
6,3,49131884,+,QRICH1;QRICH1,GRCh37,cg16270091
6,11,45939543,+,PEX16;PEX16;PEX16;PEX16,GRCh37,cg16280313
6,15,50716755,-,USP8;USP8;USP8;USP8;USP8,GRCh37,cg01443067
6,10,94352700,+,KIF11,GRCh37,cg16340918
6,7,30518197,+,NOD1,GRCh37,cg16391151
6,5,73936053,+,ENC1,GRCh37,cg01439669
6,8,103668053,-,KLF10,GRCh37,cg16481024
6,12,70637792,+,CNOT2,GRCh37,cg16482226
6,20,57556086,+,TH1L,GRCh37,cg16484842
6,6,13614902,-,NOL7,GRCh37,cg16253168
6,17,34891014,-,MYO19;MYO19;MYO19;PIGW,GRCh37,cg16544272
6,1,70671441,+,SFRS11;LRRC40;SFRS11,GRCh37,cg16666456
6,19,46010011,-,VASP,GRCh37,cg16688911
6,15,72978825,-,HIGD2B;BBS4,GRCh37,cg01412445
6,4,103790299,+,UBE2D3;CISD2;UBE2D3,GRCh37,cg16746737
6,14,24685222,+,MDP1;MDP1,GRCh37,cg16769376
6,9,133569236,-,EXOSC2,GRCh37,cg16799583
6,10,112835859,+,ADRA2A,GRCh37,cg16886188
6,2,85554779,-,TGOLN2,GRCh37,cg16907167
6,12,95467524,+,NR2C1;NR2C1;NR2C1,GRCh37,cg16909124
6,19,44031589,+,ETHE1,GRCh37,cg16664233
6,6,36954249,+,MTCH1,GRCh37,cg16239406
6,16,1359182,+,UBE2I;UBE2I;UBE2I;UBE2I;UBE2I,GRCh37,cg16236759
6,4,100815812,+,MAPKSP1;MAPKSP1,GRCh37,cg16220802
6,14,74318413,-,PTGR2;PTGR2;PTGR2,GRCh37,cg15729423
6,1,109618580,+,TAF13;TAF13,GRCh37,cg15753381
6,19,13859137,-,CCDC130,GRCh37,cg15755406
6,11,76156397,-,C11orf30,GRCh37,cg15765532
6,1,165796654,-,UCK2,GRCh37,cg15781625
6,16,31119650,+,BCKDK;BCKDK,GRCh37,cg15785580
6,16,21169615,+,DNAH3;TMEM159,GRCh37,cg15786879
6,17,28256424,+,EFCAB5;SSH2,GRCh37,cg01491540
6,5,80597551,-,RNU5E;RNU5D;ZCCHC9;ZCCHC9;ZCCHC9;ZCCHC9,GRCh37,cg01491225
6,10,22292583,+,DNAJC1;DNAJC1,GRCh37,cg15818800
6,17,18761345,+,PRPSAP2,GRCh37,cg15831452
6,11,65382529,+,PCNXL3;MAP3K11,GRCh37,cg15854296
6,19,45927257,-,ERCC1;ERCC1;ERCC1,GRCh37,cg15911500
6,16,30661850,-,PRR14,GRCh37,cg15928446
6,8,144349898,+,GLI4,GRCh37,cg16007680
6,1,224034222,+,TP53BP2;TP53BP2,GRCh37,cg16028934
6,21.0,26980353,+,MRPL39;MRPL39,GRCh37,cg16069236
6,7,66386859,+,C7orf42,GRCh37,cg16075384
6,4,144434637,-,SMARCA5;SMARCA5,GRCh37,cg16091845
6,8,102218091,-,ZNF706;ZNF706;ZNF706,GRCh37,cg16124821
6,1,226069919,-,TMEM63A,GRCh37,cg01461641
6,9,36573072,+,MELK,GRCh37,cg14776416
6,1,184021034,-,TSEN15;TSEN15;TSEN15,GRCh37,cg14773259
6,22.0,35777245,+,HMOX1,GRCh37,cg14733672
6,16,30662724,-,PRR14,GRCh37,cg14710524
6,4,129209602,-,PGRMC2,GRCh37,cg13469311
6,5,137089619,+,HNRNPA0,GRCh37,cg11049298
6,8,17942526,+,ASAH1;ASAH1;ASAH1,GRCh37,cg13563405
6,6,33257501,+,PFDN6;WDR46;WDR46,GRCh37,cg13576739
6,5,137548929,-,CDC23,GRCh37,cg13581941
6,2,136289118,-,R3HDM1;R3HDM1;ZRANB3,GRCh37,cg13588645
6,19,55918708,-,UBE2S,GRCh37,cg13620808
6,15,102192134,-,TM2D3;TM2D3,GRCh37,cg13634678
6,19,54618596,-,PRPF31;TFPT,GRCh37,cg13650689
6,1,150459676,-,TARS2,GRCh37,cg13454184
6,11,67159079,+,LOC100130987;RAD9A,GRCh37,cg01787047
6,22.0,30000107,-,NF2;NF2;NF2;NF2;NF2;NF2;NF2;NF2;NF2,GRCh37,cg13671831
6,3,194354433,-,TMEM44;TMEM44;TMEM44;TMEM44,GRCh37,cg13713381
6,22.0,21271392,+,CRKL,GRCh37,cg13720744
6,3,66024492,+,MAGI1;MAGI1;MAGI1;MAGI1;MAGI1;MAGI1,GRCh37,cg13725272
6,19,56112088,+,FIZ1;ZNF524,GRCh37,cg13741249
6,1,36863007,+,LSM10,GRCh37,cg01773061
6,8,133687491,+,LRRC6,GRCh37,cg13755023
6,2,20424975,+,SDC1;SDC1,GRCh37,cg13758659
6,17,58156411,+,HEATR6,GRCh37,cg13790571
6,9,14693082,-,ZDHHC21,GRCh37,cg01785060
6,1,65886635,-,LEPR;LEPR;LEPROT;LEPR,GRCh37,cg13446852
6,14,76452183,-,C14orf179;C14orf179,GRCh37,cg13438944
6,17,38210697,+,MED24;MED24;MED24;MED24,GRCh37,cg13437593
6,4,141445677,+,ELMOD2,GRCh37,cg13132204
6,3,124449104,+,UMPS,GRCh37,cg13144004
6,22.0,31556086,+,RNF185;RNF185;RNF185;RNF185;RNF185;RNF185;RNF185,GRCh37,cg13145458
