IlmnID,CHR,Position,Strand,UCSC_RefGene_Name,Genome_Build
cg02233190,Y,22737591,+,EIF1AY,GRCh37
cg02272584,Y,8146855,-,,GRCh37
cg02288797,Y,14532022,+,,GRCh37
cg02340092,Y,16945913,+,NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg02352633,Y,23561638,+,RBMY2EP,GRCh37
cg02402208,Y,9384707,+,,GRCh37
cg02407581,Y,8553302,-,TTTY18,GRCh37
cg02432075,Y,4870822,+,PCDH11Y,GRCh37
cg02494853,Y,4868397,-,PCDH11Y;PCDH11Y,GRCh37
cg02522936,Y,22680010,+,TTTY10,GRCh37
cg02577797,Y,2802968,-,ZFY;ZFY;ZFY,GRCh37
cg02582450,Y,14075806,+,,GRCh37
cg02606988,Y,9216456,+,TSPY4;TSPY4,GRCh37
cg02616328,Y,2803947,+,ZFY;ZFY;ZFY,GRCh37
cg02624968,Y,10036321,+,,GRCh37
cg02730008,Y,15814320,+,TMSB4Y,GRCh37
cg02802508,Y,9214477,-,TSPY4;FAM197Y2;TSPY4,GRCh37
cg02839557,Y,6778641,+,TBL1Y;TBL1Y;TBL1Y,GRCh37
cg02842889,Y,2803127,-,ZFY;ZFY;ZFY;ZFY,GRCh37
cg02884332,Y,22737946,+,EIF1AY,GRCh37
cg03052502,Y,9193029,+,FAM197Y2,GRCh37
cg03055837,Y,16634126,+,NLGN4Y;NLGN4Y,GRCh37
cg03123709,Y,15817871,+,TMSB4Y,GRCh37
cg03155755,Y,9385861,-,,GRCh37
cg03244189,Y,21238472,-,TTTY14,GRCh37
cg03258315,Y,14077975,-,,GRCh37
cg03266527,Y,15591101,+,UTY;UTY;UTY,GRCh37
cg03278611,Y,16941591,-,NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg03359666,Y,13332435,-,,GRCh37
cg03416979,Y,23566288,-,,GRCh37
cg03430010,Y,15591607,-,UTY;UTY;UTY;UTY;UTY;UTY,GRCh37
cg03441493,Y,14074417,+,,GRCh37
cg03443143,Y,9363365,-,TSPY4;FAM197Y2,GRCh37
cg03515816,Y,9745295,-,,GRCh37
cg03515901,Y,3447157,-,TGIF2LY;TGIF2LY,GRCh37
cg03533500,Y,21668420,-,,GRCh37
cg03535417,Y,9302758,-,TSPY4;FAM197Y2,GRCh37
cg03601053,Y,15016101,+,DDX3Y;DDX3Y;DDX3Y,GRCh37
cg03672679,Y,17567897,+,,GRCh37
cg03683899,Y,2803070,-,ZFY;ZFY;ZFY,GRCh37
cg03695421,Y,14074773,-,,GRCh37
cg03706273,Y,16635745,+,NLGN4Y;NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg03750315,Y,22737896,-,EIF1AY,GRCh37
cg03767353,Y,2658057,-,,GRCh37
cg03769088,Y,8120126,-,,GRCh37
cg03827298,Y,24454927,-,RBMY1F;RBMY2FP,GRCh37
cg03905640,Y,19625308,-,FAM41AY2;FAM41AY1,GRCh37
cg03930849,Y,26716289,-,TTTY4B;TTTY4;TTTY4C,GRCh37
cg04016144,Y,9215053,-,TSPY4;TSPY4,GRCh37
cg04021548,Y,16634027,-,NLGN4Y,GRCh37
cg04023335,Y,14100573,+,,GRCh37
cg04042030,Y,6778623,+,TBL1Y;TBL1Y;TBL1Y,GRCh37
cg04123665,Y,6131007,+,,GRCh37
cg04169747,Y,2655740,-,SRY;SRY,GRCh37
cg04170994,Y,20488293,-,LOC401630;LOC401629,GRCh37
cg04193779,Y,9170562,-,TTTY20,GRCh37
cg04303809,Y,14649201,+,,GRCh37
cg04351468,Y,9158941,+,RBMY1A3P,GRCh37
cg04419680,Y,16637061,-,NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg04448376,Y,15591617,+,UTY;UTY;UTY;UTY;UTY;UTY,GRCh37
cg04462340,Y,13911503,-,,GRCh37
cg04477336,Y,3447814,+,TGIF2LY,GRCh37
cg04493908,Y,7426653,-,,GRCh37
cg04559508,Y,9387798,-,,GRCh37
cg04576441,Y,15866837,-,,GRCh37
cg04689676,Y,7142046,+,PRKY,GRCh37
cg04691144,Y,16634373,+,NLGN4Y;NLGN4Y,GRCh37
cg04790916,Y,15591260,-,UTY;UTY;UTY,GRCh37
cg04792227,Y,17568097,+,,GRCh37
cg04817258,Y,6117321,+,,GRCh37
cg04831594,Y,8501021,-,,GRCh37
cg04840163,Y,2804320,-,ZFY;ZFY;ZFY,GRCh37
cg04864270,Y,13477005,+,,GRCh37
cg04958669,Y,9342990,-,TSPY4,GRCh37
cg04964672,Y,7428198,-,,GRCh37
cg05051262,Y,23566572,-,,GRCh37
cg05098815,Y,9449618,-,RBMY3AP,GRCh37
cg05128824,Y,15015176,+,DDX3Y,GRCh37
cg05163709,Y,7141248,-,PRKY,GRCh37
cg05202434,Y,8571846,+,TTTY19,GRCh37
cg05213048,Y,14100276,-,,GRCh37
cg05230942,Y,21155270,-,CD24;TTTY14,GRCh37
cg05367916,Y,6172783,+,,GRCh37
cg05378695,Y,9528418,+,TTTY8;TTTY8B,GRCh37
cg05408674,Y,6136711,+,,GRCh37
cg05480730,Y,7142073,-,PRKY,GRCh37
cg05530472,Y,6742689,-,AMELY,GRCh37
cg05544622,Y,9303646,+,TSPY1;TSPY4,GRCh37
cg05557315,Y,9476544,+,,GRCh37
cg05608794,Y,14649668,+,,GRCh37
cg05618150,Y,7140718,-,PRKY,GRCh37
cg05621349,Y,21729069,-,CYorf15A,GRCh37
cg05672930,Y,21729555,+,CYorf15A,GRCh37
cg05678960,Y,6133838,+,,GRCh37
cg05725925,Y,21729058,-,CYorf15A,GRCh37
cg05782707,Y,9641402,-,TTTY22,GRCh37
cg05865243,Y,6114255,-,TSPY2,GRCh37
cg05890011,Y,14774195,-,TTTY15,GRCh37
cg05939513,Y,16942232,+,NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg05940236,Y,15017297,-,DDX3Y;DDX3Y,GRCh37
cg05954446,Y,6738929,-,AMELY,GRCh37
cg05964935,Y,13462412,+,,GRCh37
cg05999368,Y,24044078,-,,GRCh37
cg06060201,Y,20488280,-,LOC401630;LOC401629,GRCh37
cg06065495,Y,21666309,-,BCORL2,GRCh37
cg06231362,Y,21726406,+,,GRCh37
cg06237805,Y,8147958,+,,GRCh37
cg06247034,Y,16634255,+,NLGN4Y;NLGN4Y,GRCh37
cg06322277,Y,22917937,+,RPS4Y2,GRCh37
cg06479204,Y,15591533,-,UTY;UTY;UTY,GRCh37
cg06502680,Y,21728952,-,CYorf15A,GRCh37
cg06558765,Y,2803610,+,ZFY;ZFY;ZFY;ZFY;ZFY,GRCh37
cg06576965,Y,8551551,-,TTTY18,GRCh37
cg06587955,Y,9368165,+,TSPY4,GRCh37
cg06628792,Y,21240004,+,TTTY14,GRCh37
cg06636270,Y,9173300,-,TTTY20,GRCh37
cg06855731,Y,9931079,+,,GRCh37
cg06865724,Y,24445690,+,TTTY5,GRCh37
cg07456370,Y,15863486,+,,GRCh37
cg07607525,Y,7142752,+,PRKY,GRCh37
cg07728631,Y,14100068,+,,GRCh37
cg07731488,Y,21729314,+,CYorf15A;CYorf15A,GRCh37
cg07747963,Y,22917087,-,RPS4Y2,GRCh37
cg07765982,Y,6263841,+,TTTY1;LOC100101116,GRCh37
cg07795413,Y,16733930,+,NLGN4Y;NLGN4Y;NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg07851521,Y,6113261,+,TSPY2,GRCh37
cg07939587,Y,2657936,+,,GRCh37
cg07950979,Y,15451782,+,UTY;UTY;UTY,GRCh37
cg08045599,Y,7140572,-,PRKY,GRCh37
cg08053115,Y,9605072,-,TTTY1;LOC100101116,GRCh37
cg08160949,Y,8150875,+,,GRCh37
cg08242338,Y,6114379,-,TSPY2,GRCh37
cg08258654,Y,9237650,-,TSPY4;TSPY4;TSPY3,GRCh37
cg08265308,Y,28555550,-,,GRCh37
cg08314875,Y,15015601,+,DDX3Y;DDX3Y,GRCh37
cg08357313,Y,9161051,+,RBMY1A3P,GRCh37
cg08455548,Y,4867968,-,PCDH11Y,GRCh37
cg08528516,Y,15015995,-,DDX3Y;DDX3Y,GRCh37
cg08593141,Y,15866447,+,,GRCh37
cg08596608,Y,14533505,+,,GRCh37
cg08635406,Y,9214483,-,TSPY4;FAM197Y2;TSPY4,GRCh37
cg08673225,Y,2708972,+,RPS4Y1,GRCh37
cg08680991,Y,6131963,+,,GRCh37
cg08702825,Y,8148094,-,,GRCh37
cg08715207,Y,22737969,-,EIF1AY,GRCh37
cg08739478,Y,8145779,+,,GRCh37
cg08816194,Y,16733442,+,NLGN4Y;NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg08820785,Y,22738029,+,EIF1AY,GRCh37
cg08921682,Y,6891543,+,TBL1Y;TBL1Y;TBL1Y,GRCh37
cg09081202,Y,22735320,-,,GRCh37
cg09093035,Y,14074689,-,,GRCh37
cg09197443,Y,14107195,+,,GRCh37
cg09223632,Y,10033460,-,,GRCh37
cg09228985,Y,21666078,-,BCORL2,GRCh37
cg09230658,Y,14081314,+,,GRCh37
cg09300505,Y,16942154,-,NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg09350919,Y,9365070,+,TSPY3;TSPY4,GRCh37
cg09408193,Y,20501241,+,,GRCh37
cg09460641,Y,9385586,+,,GRCh37
cg09546548,Y,7141818,+,PRKY,GRCh37
cg09595415,Y,2655942,-,SRY,GRCh37
cg09703571,Y,4867908,+,PCDH11Y,GRCh37
cg09728865,Y,6780027,+,TBL1Y;TBL1Y;TBL1Y,GRCh37
cg09730640,Y,14533708,-,,GRCh37
cg09732580,Y,15012764,+,,GRCh37
cg09748856,Y,16636697,+,NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg09804407,Y,16733251,+,NLGN4Y;NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg09829904,Y,2823782,+,ZFY;ZFY;ZFY,GRCh37
cg09856092,Y,15016590,+,DDX3Y;DDX3Y,GRCh37
cg09898573,Y,14100824,-,,GRCh37
cg10051237,Y,14074025,-,,GRCh37
cg10067523,Y,8681688,-,TTTY11,GRCh37
cg10076560,Y,21729144,+,CYorf15A,GRCh37
cg10172760,Y,22736833,-,EIF1AY,GRCh37
cg10213302,Y,2802975,-,ZFY;ZFY;ZFY,GRCh37
cg10239257,Y,9366496,+,TSPY4;TSPY3,GRCh37
cg10252249,Y,20508275,+,,GRCh37
cg10267609,Y,24453757,-,RBMY1F;RBMY2FP,GRCh37
cg10338539,Y,2655977,-,SRY,GRCh37
cg10363397,Y,15864778,-,,GRCh37
cg10422744,Y,16632438,-,,GRCh37
cg10465579,Y,4867963,-,PCDH11Y,GRCh37
cg10557773,Y,2801877,-,ZFY,GRCh37
cg10593480,Y,22738771,-,EIF1AY,GRCh37
cg10620659,Y,22737391,-,EIF1AY,GRCh37
cg10646950,Y,20748782,-,HSFY1;TTTY9B;HSFY2;HSFY2;TTTY9A;HSFY1,GRCh37
cg10666546,Y,23566863,+,,GRCh37
cg10691859,Y,21041339,+,NCRNA00185,GRCh37
cg10698069,Y,15016598,-,DDX3Y;DDX3Y,GRCh37
cg10799208,Y,22681436,-,TTTY10,GRCh37
cg10811597,Y,21239219,+,TTTY14,GRCh37
cg10835413,Y,10035202,-,,GRCh37
cg10841270,Y,22917104,+,RPS4Y2,GRCh37
cg10959847,Y,9707927,+,,GRCh37
cg10990737,Y,16637142,-,NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg11021362,Y,23756676,+,TTTY13,GRCh37
cg11131351,Y,2802287,-,ZFY;ZFY;ZFY,GRCh37
cg11225091,Y,22737663,-,EIF1AY;EIF1AY,GRCh37
cg11684211,Y,21239607,-,TTTY14,GRCh37
cg11816202,Y,21239332,-,TTTY14,GRCh37
cg11898347,Y,2655866,-,SRY,GRCh37
cg12456573,Y,6134650,-,,GRCh37
cg13252613,Y,9747748,+,LOC100101121;TTTY23,GRCh37
cg13268984,Y,15863367,+,,GRCh37
cg13308744,Y,22736584,-,EIF1AY,GRCh37
cg13365400,Y,27210334,+,TTTY4B;TTTY4C;TTTY4,GRCh37
cg13419214,Y,6341961,-,TTTY8B;TTTY8,GRCh37
cg13618458,Y,6775803,-,,GRCh37
cg13654344,Y,2654978,+,SRY;SRY,GRCh37
cg13765957,Y,21208621,-,TTTY14,GRCh37
cg13805219,Y,6137453,-,,GRCh37
cg13808036,Y,24453658,+,RBMY1F;RBMY2FP,GRCh37
cg13845521,Y,21238886,+,TTTY14,GRCh37
cg13851368,Y,14074873,-,,GRCh37
cg13861458,Y,9304971,-,TSPY1;TSPY4,GRCh37
cg13884608,Y,5608629,+,PCDH11Y,GRCh37
cg14005657,Y,9365108,+,TSPY3;TSPY4,GRCh37
cg14029254,Y,22918261,-,RPS4Y2,GRCh37
cg14133106,Y,14652924,-,,GRCh37
cg14151065,Y,19678535,-,,GRCh37
cg14157445,Y,14774019,-,TTTY15,GRCh37
cg14170959,Y,2802217,+,ZFY;ZFY;ZFY,GRCh37
cg14180491,Y,15016705,+,DDX3Y;DDX3Y;DDX3Y,GRCh37
cg14210405,Y,9930240,-,,GRCh37
cg14248084,Y,14076009,-,,GRCh37
cg14273923,Y,28555912,+,,GRCh37
cg14303457,Y,14537211,+,,GRCh37
cg14442616,Y,15031167,+,DDX3Y;DDX3Y,GRCh37
cg14463736,Y,15817372,+,TMSB4Y,GRCh37
cg14466580,Y,10037020,-,,GRCh37
cg14467015,Y,23757241,+,TTTY13,GRCh37
cg14492024,Y,21729049,-,CYorf15A,GRCh37
cg14526044,Y,2802103,-,ZFY;ZFY;ZFY,GRCh37
cg14671357,Y,7676811,-,TTTY12,GRCh37
cg14720093,Y,10033382,+,,GRCh37
cg14741114,Y,14774198,-,TTTY15,GRCh37
cg14742615,Y,17569363,+,,GRCh37
cg14778208,Y,7569246,+,TTTY16,GRCh37
cg14931215,Y,21867702,-,KDM5D;KDM5D;KDM5D,GRCh37
cg14933403,Y,7146170,+,PRKY,GRCh37
cg14972466,Y,2802332,+,ZFY;ZFY;ZFY,GRCh37
cg15027426,Y,21664604,-,BCORL2,GRCh37
cg15059553,Y,22737505,+,EIF1AY,GRCh37
cg15183843,Y,14529720,-,,GRCh37
cg15197499,Y,6778939,+,TBL1Y;TBL1Y;TBL1Y;TBL1Y;TBL1Y;TBL1Y,GRCh37
cg15273954,Y,14773684,+,TTTY15,GRCh37
cg15281205,Y,21100472,-,TTTY14,GRCh37
cg15295597,Y,4868368,-,PCDH11Y;PCDH11Y,GRCh37
cg15329860,Y,21906636,+,KDM5D;KDM5D;KDM5D;KDM5D;KDM5D;KDM5D,GRCh37
cg15345074,Y,21239461,-,TTTY14,GRCh37
cg15422579,Y,22737424,-,EIF1AY,GRCh37
cg15429127,Y,15016579,+,DDX3Y;DDX3Y,GRCh37
cg15431336,Y,4872931,+,PCDH11Y,GRCh37
cg15462332,Y,24052532,-,RBMY1D;RBMY1E;RBMY1B,GRCh37
cg15516537,Y,24036882,-,RBMY1D;RBMY1A1;RBMY1E;RBMY1B,GRCh37
cg15563434,Y,2657879,+,,GRCh37
cg15662272,Y,21906974,+,KDM5D;KDM5D;KDM5D,GRCh37
cg15682806,Y,9747821,-,LOC100101121;TTTY23,GRCh37
cg15682993,Y,21729251,-,CYorf15A;CYorf15A,GRCh37
cg15700967,Y,6954228,+,TBL1Y;TBL1Y;TBL1Y,GRCh37
cg15746461,Y,14774193,-,TTTY15,GRCh37
cg15758480,Y,13914013,+,,GRCh37
cg15781156,Y,7569967,+,TTTY16,GRCh37
cg15794778,Y,21665021,-,BCORL2,GRCh37
cg15810474,Y,9306450,+,TSPY1;TSPY4,GRCh37
cg15849038,Y,6172428,+,,GRCh37
cg15935877,Y,9303715,+,TSPY1;TSPY4,GRCh37
cg16292375,Y,19691502,+,LOC401629;LOC401630,GRCh37
cg16552926,Y,23694891,-,,GRCh37
cg16626452,Y,9195514,-,TSPY4,GRCh37
cg16894943,Y,20488269,-,LOC401630;LOC401629,GRCh37
cg17115812,Y,19678528,-,,GRCh37
cg17430262,Y,14649051,-,,GRCh37
cg17560699,Y,15593045,+,UTY;UTY;UTY,GRCh37
cg17651935,Y,14078666,+,,GRCh37
cg17660627,Y,21729665,+,CYorf15A,GRCh37
cg17741448,Y,22917782,+,RPS4Y2,GRCh37
cg17769199,Y,9193058,+,FAM197Y2,GRCh37
cg17812515,Y,15863901,-,,GRCh37
cg17816615,Y,15019332,+,DDX3Y;DDX3Y,GRCh37
cg17834650,Y,9214205,+,FAM197Y2;TSPY4,GRCh37
cg17837162,Y,9340946,+,TSPY4,GRCh37
cg17913570,Y,9382523,-,,GRCh37
cg17939569,Y,27009430,+,DAZ2;DAZ4;DAZ3;DAZ2;DAZ4,GRCh37
cg17972491,Y,6742726,-,AMELY,GRCh37
cg18032798,Y,15816361,-,TMSB4Y,GRCh37
cg18058072,Y,2807288,-,ZFY;ZFY;ZFY,GRCh37
cg18077436,Y,15016622,-,DDX3Y;DDX3Y,GRCh37
cg18085787,Y,14646665,-,,GRCh37
cg18113731,Y,16636984,+,NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg18163559,Y,9742930,+,,GRCh37
cg18168924,Y,7177888,+,PRKY,GRCh37
cg18188392,Y,14649262,+,,GRCh37
cg19244032,Y,16636990,+,NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg20106158,Y,6388486,+,,GRCh37
cg20256738,Y,6114404,-,TSPY2,GRCh37
cg20401549,Y,7141681,-,PRKY,GRCh37
cg20474581,Y,14812997,+,USP9Y,GRCh37
cg20764275,Y,17568616,+,,GRCh37
cg20864678,Y,21729037,-,CYorf15A,GRCh37
cg21106100,Y,28555536,-,,GRCh37
cg22051787,Y,24549725,-,RBMY1J;RBMY1J;RBMY1F,GRCh37
cg22509014,Y,9172448,+,TTTY20,GRCh37
cg23308414,Y,20508362,-,,GRCh37
cg23834181,Y,17567486,+,,GRCh37
cg24016855,Y,9194584,-,TSPY4,GRCh37
cg24183504,Y,9384015,-,,GRCh37
cg24393100,Y,9745653,+,,GRCh37
cg24837623,Y,2802900,-,ZFY;ZFY;ZFY,GRCh37
cg25012987,Y,19691491,+,LOC401629;LOC401630,GRCh37
cg25032547,Y,14773536,-,TTTY15,GRCh37
cg25059696,Y,7431190,-,,GRCh37
cg25071634,Y,9172441,+,TTTY20,GRCh37
cg25363292,Y,13472366,+,,GRCh37
cg25427172,Y,23566730,+,,GRCh37
cg25443613,Y,2709605,-,RPS4Y1,GRCh37
cg25518695,Y,16636258,+,NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg25538674,Y,9197029,-,TSPY4,GRCh37
cg25640065,Y,23569324,+,,GRCh37
cg25667057,Y,17567474,+,,GRCh37
cg25704368,Y,9173280,-,TTTY20,GRCh37
cg25705492,Y,9307448,+,TSPY4,GRCh37
cg25756647,Y,21728575,+,CYorf15A,GRCh37
cg25815185,Y,21906868,+,KDM5D;KDM5D;KDM5D,GRCh37
cg25914522,Y,24452543,+,,GRCh37
cg25918849,Y,23753332,-,TTTY13,GRCh37
cg26046487,Y,20736147,-,HSFY1;HSFY2;HSFY2;HSFY1,GRCh37
cg26058907,Y,22917942,-,RPS4Y2,GRCh37
cg26198148,Y,15814685,+,TMSB4Y,GRCh37
cg26251715,Y,21236229,-,TTTY14,GRCh37
cg26475999,Y,9344960,-,TSPY4,GRCh37
cg26488634,Y,14108207,-,,GRCh37
cg26497631,Y,24331358,-,,GRCh37
cg26517491,Y,21906943,-,KDM5D;KDM5D;KDM5D,GRCh37
cg26520468,Y,14099742,-,,GRCh37
cg26928789,Y,22682393,-,TTTY10,GRCh37
cg26983430,Y,24549675,+,RBMY1J;RBMY1J;RBMY1F,GRCh37
cg26983535,Y,22737594,+,EIF1AY,GRCh37
cg27049643,Y,21906893,+,KDM5D;KDM5D;KDM5D,GRCh37
cg27214488,Y,16635501,+,NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg27248959,Y,10035199,-,,GRCh37
cg27254225,Y,15811945,+,,GRCh37
cg27265812,Y,16634594,-,NLGN4Y;NLGN4Y,GRCh37
cg27325772,Y,9178472,+,,GRCh37
cg27355713,Y,6778543,-,TBL1Y;TBL1Y;TBL1Y,GRCh37
cg27402302,Y,13589640,+,,GRCh37
cg27433982,Y,2802985,-,ZFY;ZFY;ZFY,GRCh37
cg27443332,Y,16634795,+,NLGN4Y;NLGN4Y,GRCh37
cg27509967,Y,21877683,+,KDM5D;KDM5D;KDM5D,GRCh37
cg27539833,Y,3447947,-,TGIF2LY,GRCh37
cg27545697,Y,10037049,-,,GRCh37
cg27578568,Y,8572427,-,TTTY19,GRCh37
cg27611726,Y,6783873,-,TBL1Y;TBL1Y;TBL1Y,GRCh37
cg27636129,Y,2655927,-,SRY,GRCh37
cg00005617,X,68059898,-,EFNB1,GRCh37
cg00006815,X,103810908,-,IL1RAPL2,GRCh37
cg00008932,X,71498597,-,RPS4X,GRCh37
cg00008945,X,80377379,+,HMGN5,GRCh37
cg00011200,X,48380234,-,EBP;EBP,GRCh37
cg00011891,X,153714660,-,UBL4A,GRCh37
cg00012395,X,129472061,-,,GRCh37
cg00014152,X,48457128,+,WDR13;WDR13;WDR13;WDR13,GRCh37
cg00016522,X,149737876,+,MTM1,GRCh37
cg00016934,X,40035961,+,BCOR;BCOR,GRCh37
cg00018204,X,151128776,+,GABRE;MIR452,GRCh37
cg00018261,X,117957689,+,ZCCHC12,GRCh37
cg00021786,X,31090306,+,FTHL17,GRCh37
cg00023415,X,48435152,+,RBM3,GRCh37
cg00026186,X,48367230,-,PORCN;PORCN;PORCN;PORCN;PORCN,GRCh37
cg00027454,X,46740285,+,RP2,GRCh37
cg00029931,X,100645741,+,RPL36A,GRCh37
cg00030125,X,125299403,-,DCAF12L2,GRCh37
cg00031235,X,49124819,+,PPP1R3F,GRCh37
cg00032666,X,149613398,-,MAMLD1,GRCh37
cg00034639,X,138529221,+,SRD5A1P1,GRCh37
cg00034731,X,68348071,+,,GRCh37
cg00037117,X,44730718,+,,GRCh37
cg00040419,X,13670660,-,TCEANC,GRCh37
cg00040455,X,30326676,-,NR0B1,GRCh37
cg00040923,X,100806880,+,ARMCX1,GRCh37
cg00046099,X,54556443,-,GNL3L,GRCh37
cg00051952,X,153605299,-,,GRCh37
cg00060882,X,24072811,+,EIF2S3,GRCh37
cg00070542,X,79830095,-,,GRCh37
cg00072288,X,153200492,-,NAA10,GRCh37
cg00072587,X,19531567,+,MAP3K15,GRCh37
cg00072799,X,78427682,-,GPR174;GPR174,GRCh37
cg00072839,X,91035267,+,PCDH11X,GRCh37
cg00074638,X,2883307,+,ARSE,GRCh37
cg00078867,X,48542398,-,WAS,GRCh37
cg00098732,X,132096915,-,HS6ST2;HS6ST2,GRCh37
cg00108056,X,153627317,+,RPL10;RPL10;SNORA70,GRCh37
cg00108737,X,117628241,-,,GRCh37
cg00111239,X,71238329,-,NHSL2,GRCh37
cg00112256,X,117629928,+,DOCK11;DOCK11,GRCh37
cg00113623,X,153640221,+,TAZ;TAZ;DNASE1L1;DNASE1L1;TAZ;TAZ;DNASE1L1;TAZ,GRCh37
cg00114625,X,24483478,+,PDK3;PDK3;PDK3;PDK3,GRCh37
cg00114913,X,118107540,+,LONRF3;LONRF3,GRCh37
cg00115511,X,46404799,+,LOC401588;ZNF674;ZNF674,GRCh37
cg00116265,X,46306111,+,ZNF673;ZNF673;ZNF673;ZNF673,GRCh37
cg00116709,X,49020091,-,MAGIX;MAGIX;MAGIX;MAGIX,GRCh37
cg00117066,X,16140434,+,GRPR,GRCh37
cg00117663,X,35816347,-,MAGEB16,GRCh37
cg00120172,X,77042539,-,ATRX;ATRX,GRCh37
cg00121904,X,43741826,+,MAOB,GRCh37
cg00123001,X,13395880,+,,GRCh37
cg00124708,X,100877463,+,ARMCX3;ARMCX3;ARMCX3,GRCh37
cg00126657,X,47967250,-,SSX6,GRCh37
cg00126698,X,100640503,+,BTK,GRCh37
cg00128197,X,53461455,+,HSD17B10;HSD17B10,GRCh37
cg00130498,X,129192712,+,,GRCh37
